transaction_id,date,product_id,product_name,category,brand,store_id,region,city,units_sold,revenue,promotion_flag,stock_level,stockout_flag
T00129,2025-04-22,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,81,1620,False,388,False
T00130,2025-03-16,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,166,6640,True,235,False
T00131,2025-06-16,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,111,4440,False,59,False
T00132,2025-02-10,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,78,3120,False,280,False
T00133,2025-04-10,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,106,6360,False,98,False
T00134,2025-05-23,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,90,1800,False,250,False
T00135,2025-04-06,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,71,1420,False,223,False
T00136,2025-06-10,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,130,5200,False,208,False
T00137,2025-02-18,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,66,5940,False,153,False
T00138,2025-03-31,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,182,7280,True,336,False
T00139,2025-01-15,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,77,2695,True,26,False
T00140,2025-05-15,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,90,2250,False,342,False
T00141,2025-03-17,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,35,700,False,267,False
T00142,2025-01-22,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,27,1620,False,398,False
T00143,2025-03-23,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,51,4590,False,57,False
T00144,2025-05-08,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,96,8640,False,4,True
T00145,2025-05-03,P102,Orange Soda,Beverage,FizzCo,S004,West,Mumbai,139,4865,True,167,False
T00146,2025-06-01,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,40,1000,False,335,False
T00147,2025-05-26,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,34,850,False,337,False
T00148,2025-03-13,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,31,1085,False,173,False
T00149,2025-03-28,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,61,1220,True,376,False
T00150,2025-01-09,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,39,2340,False,196,False
T00151,2025-06-30,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,98,5880,True,336,False
T00152,2025-06-02,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,60,1500,False,268,False
T00153,2025-05-24,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,35,3150,False,297,False
T00154,2025-04-08,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,53,1325,False,193,False
T00155,2025-04-07,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,147,13230,False,172,False
T00156,2025-06-14,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,81,2835,False,136,False
T00157,2025-04-16,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,109,2180,True,399,False
T00158,2025-06-16,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,27,1620,True,135,False
T00159,2025-02-16,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,112,4480,False,168,False
T00160,2025-02-25,P101,Cola 500ml,Beverage,FizzCo,S003,North,Delhi,100,4000,True,111,False
T00161,2025-04-06,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,118,7080,False,351,False
T00162,2025-03-28,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,71,1775,False,288,False
T00163,2025-02-21,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,98,2450,False,29,False
T00164,2025-01-21,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,84,5040,False,221,False
T00165,2025-06-24,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,145,8700,False,61,False
T00166,2025-02-22,P105,Energy Drink,Beverage,PowerUp,S004,West,Mumbai,83,7470,False,138,False
T00167,2025-01-01,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,31,1240,False,385,False
T00168,2025-03-30,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,52,1300,False,391,False
T00169,2025-02-13,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,156,3120,True,216,False
T00170,2025-05-26,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,60,2100,False,14,True
T00171,2025-01-10,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,39,780,True,305,False
T00172,2025-05-10,P104,Salted Nuts,Snacks,Crunchy,S004,West,Mumbai,93,5580,False,295,False
T00173,2025-03-13,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,31,2790,False,40,False
T00174,2025-04-23,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,263,9205,True,205,False
T00175,2025-04-07,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,84,3360,False,244,False
T00176,2025-05-02,P102,Orange Soda,Beverage,FizzCo,S002,South,Bengaluru,131,4585,False,139,False
T00177,2025-05-22,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,49,1225,False,179,False
T00178,2025-03-13,P101,Cola 500ml,Beverage,FizzCo,S002,South,Bengaluru,137,5480,False,75,False
T00179,2025-05-03,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,75,3000,False,169,False
T00180,2025-05-27,P104,Salted Nuts,Snacks,Crunchy,S005,East,Kolkata,97,5820,False,163,False
T00181,2025-04-07,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,140,5600,False,342,False
T00182,2025-05-07,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,96,8640,False,366,False
T00183,2025-02-09,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,33,660,False,32,False
T00184,2025-01-13,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,80,1600,True,181,False
T00185,2025-06-09,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,77,1540,False,384,False
T00186,2025-05-17,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,67,4020,False,358,False
T00187,2025-03-11,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,52,1820,False,122,False
T00188,2025-04-06,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,81,2025,False,261,False
T00189,2025-01-05,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,44,1540,False,70,False
T00190,2025-01-29,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,26,520,False,224,False
T00191,2025-02-15,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,98,8820,False,344,False
T00192,2025-03-28,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,45,1125,False,325,False
T00193,2025-05-02,P106,Biscuits,Bakery,BakeWell,S002,South,Bengaluru,154,3850,True,127,False
T00194,2025-01-19,P103,Potato Chips,Snacks,Crunchy,S004,West,Mumbai,97,1940,False,205,False
T00195,2025-06-19,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,23,460,False,295,False
T00196,2025-01-19,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,100,3500,False,26,False
T00197,2025-06-28,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,71,1420,False,19,True
T00198,2025-01-10,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,97,2425,False,24,True
T00199,2025-06-12,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,56,5040,False,196,False
T00200,2025-03-13,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,83,2905,True,44,False
T00201,2025-01-30,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,91,3640,False,11,True
T00202,2025-03-02,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,82,1640,False,336,False
T00203,2025-04-06,P102,Orange Soda,Beverage,FizzCo,S002,South,Bengaluru,94,3290,False,365,False
T00204,2025-03-28,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,94,2350,False,132,False
T00205,2025-02-14,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,24,600,False,345,False
T00206,2025-05-09,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,163,5705,True,55,False
T00207,2025-01-17,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,51,2040,True,282,False
T00208,2025-04-23,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,43,860,False,236,False
T00209,2025-05-05,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,20,500,False,213,False
T00210,2025-04-23,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,119,2380,False,342,False
T00211,2025-02-22,P102,Orange Soda,Beverage,FizzCo,S002,South,Bengaluru,144,5040,False,387,False
T00212,2025-04-20,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,93,2325,False,325,False
T00213,2025-01-27,P102,Orange Soda,Beverage,FizzCo,S003,North,Delhi,99,3465,False,118,False
T00214,2025-02-09,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,127,7620,False,31,False
T00215,2025-06-06,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,104,4160,True,263,False
T00216,2025-05-12,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,102,2550,False,126,False
T00217,2025-01-23,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,108,2700,True,268,False
T00218,2025-05-06,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,58,2320,False,396,False
T00219,2025-02-17,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,21,840,False,231,False
T00220,2025-04-16,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,29,580,False,352,False
T00221,2025-03-17,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,82,4920,False,288,False
T00222,2025-01-10,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,67,1340,False,265,False
T00223,2025-06-26,P106,Biscuits,Bakery,BakeWell,S001,South,Hyderabad,21,525,False,62,False
T00224,2025-02-11,P106,Biscuits,Bakery,BakeWell,S005,East,Kolkata,81,2025,False,244,False
T00225,2025-02-03,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,73,4380,False,213,False
T00226,2025-05-12,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,127,11430,False,393,False
T00227,2025-01-28,P103,Potato Chips,Snacks,Crunchy,S005,East,Kolkata,120,2400,True,143,False
T00228,2025-04-05,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,181,3620,True,355,False
T00229,2025-01-29,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,34,3060,False,106,False
T00230,2025-02-02,P105,Energy Drink,Beverage,PowerUp,S001,South,Hyderabad,153,13770,False,365,False
T00231,2025-02-14,P102,Orange Soda,Beverage,FizzCo,S002,South,Bengaluru,85,2975,False,257,False
T00232,2025-06-08,P104,Salted Nuts,Snacks,Crunchy,S002,South,Bengaluru,28,1680,False,296,False
T00233,2025-04-29,P105,Energy Drink,Beverage,PowerUp,S003,North,Delhi,137,12330,False,177,False
T00234,2025-01-19,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,106,9540,False,319,False
T00235,2025-04-02,P101,Cola 500ml,Beverage,FizzCo,S001,South,Hyderabad,72,2880,False,182,False
T00236,2025-01-05,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,100,3500,False,287,False
T00237,2025-06-18,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,59,1475,False,139,False
T00238,2025-04-21,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,26,1560,False,240,False
T00239,2025-04-15,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,98,2450,True,145,False
T00240,2025-03-13,P105,Energy Drink,Beverage,PowerUp,S001,South,Hyderabad,95,8550,True,273,False
T00241,2025-01-05,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,73,1825,True,233,False
T00242,2025-06-09,P103,Potato Chips,Snacks,Crunchy,S002,South,Bengaluru,182,3640,True,74,False
T00243,2025-01-11,P103,Potato Chips,Snacks,Crunchy,S003,North,Delhi,86,1720,True,35,False
T00244,2025-06-23,P102,Orange Soda,Beverage,FizzCo,S004,West,Mumbai,151,5285,False,44,False
T00245,2025-02-12,P102,Orange Soda,Beverage,FizzCo,S001,South,Hyderabad,63,2205,False,120,False
T00246,2025-06-08,P105,Energy Drink,Beverage,PowerUp,S005,East,Kolkata,113,10170,False,392,False
T00247,2025-03-06,P106,Biscuits,Bakery,BakeWell,S003,North,Delhi,39,975,True,88,False
T00248,2025-04-11,P103,Potato Chips,Snacks,Crunchy,S001,South,Hyderabad,94,1880,False,246,False
T00249,2025-03-14,P104,Salted Nuts,Snacks,Crunchy,S003,North,Delhi,45,2700,False,181,False
T00250,2025-01-30,P101,Cola 500ml,Beverage,FizzCo,S005,East,Kolkata,72,2880,False,294,False
T00251,2025-05-14,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,79,2765,False,44,False
T00252,2025-05-18,P101,Cola 500ml,Beverage,FizzCo,S004,West,Mumbai,152,6080,True,376,False
T00253,2025-02-12,P106,Biscuits,Bakery,BakeWell,S004,West,Mumbai,30,750,False,71,False
T00254,2025-06-03,P104,Salted Nuts,Snacks,Crunchy,S001,South,Hyderabad,26,1560,False,179,False
T00255,2025-02-03,P102,Orange Soda,Beverage,FizzCo,S005,East,Kolkata,91,3185,False,229,False
T00256,2025-06-08,P105,Energy Drink,Beverage,PowerUp,S002,South,Bengaluru,165,14850,False,99,False
